X,y,airfoil name
"[-0.0778669905774749 0.0573280290214363 0.0066180621167173
 0.0204374598902616 0.00745548672808 0.0052027954604394 0.0045307001376951
 0.0013510336055258 0.0018660655054832 0.1250299217862173
 -0.0343072385525035 -0.0155088037412435 -0.0164908060099642
 -0.0137301212687166 -0.0030224925761335 -0.0074013067086509
 -0.0010359884271983 -0.0029861925163907 0.0005553341696581 -3.0]",[0.4173864461454121],SC1095_0012
"[-0.1675264326537857 0.016059792625889 -0.0023405430102038
 0.0016989588141376 0.0008312441398672 0.0014879626594945
 0.000427516775216 0.0005192161330667 8.649143726279007e-05
 0.1675264326537857 -0.016059792625889 0.0023405430102038
 -0.0016989588141376 -0.0008312441398672 -0.0014879626594945
 -0.000427516775216 -0.0005192161330667 -8.649143726279007e-05
 0.0004775214 -3.0]",[0.3320834040567123],NACA0012_0025
"[-0.1588178469701585 0.0024343812008314 0.0163110546461284
 -0.0026576170489767 -0.007905310664331 -0.0007411683511738
 -0.0014947443711417 -0.0007444116322074 -0.0008720119642017
 0.1588178469701585 -0.0024343812008314 -0.0163110546461284
 0.0026576170489767 0.007905310664331 0.0007411683511738
 0.0014947443711417 0.0007444116322074 0.0008720119642017 0.0004867746
 -4.0]",[0.2844002069999007],NACA64A015_0036
"[-0.1125546187715264 0.0066790967958683 -0.0230108066040676
 -0.0144068347235392 -0.0103944861663521 -0.0027551777590163
 -0.0044434488393958 -0.0012510683160427 -0.001454297972197
 0.1966826529871488 -0.0148609942510505 -0.0220558097756226
 -0.0291317008671784 -0.0185642789780443 -0.0033717462244614
 -0.0109973063301201 -0.0020379526705712 -0.0039297313483554
 0.001306724504841 -4.0]",[0.3813513965894592],VR12_0038
"[-0.1012402726032808 0.0785999745172125 -0.0190326277876718
 0.0072643430472451 0.0107070228397719 0.0047790175068359
 -0.0012824970297214 -0.0005721136112633 -0.0008675819864077
 0.2338484287631205 -0.025969625721293 -0.0329461283785708
 -0.0042477178178975 -0.0001221395854132 -0.0030492323587562
 -0.001091602412097 -0.0024801930218689 -0.0002991890972423
 6.595291028803677e-05 -2.0]",[0.3917055644502353],GS1_0023
"[-0.1018155410937526 0.0092412483944434 -0.0134599103847809
 0.0156895478712827 -0.0040975108237607 0.0050265635494576
 -0.0028265388970621 0.0012537046818557 -0.0014589734546923
 0.135254595901671 0.0281156791716608 0.0280206920084557
 -0.0044298969559172 0.0073119189811493 -0.0012128220608412
 0.0036613998025266 -0.0001832466933404 0.001856369299311 0.000675307 -3.0]",[0.4369584308582455],RCSC2_0022
"[-0.1503579020177528 -0.0541187197898014 -0.0350064824454876
 0.006267287976349 -0.0052069992029163 0.0045654590794964
 -0.0014046264820141 0.0012784337849495 -0.0007355448235232
 0.1544905098073964 -0.0128574255952102 -0.0105645283710594
 -0.0012580590742218 0.0010859958751787 0.0029054004543553
 0.0013207328811741 0.0008207720607919 0.0004108348894898
 0.0007732910871327 -1.0]",[0.4744696364399504],RC310_0023
"[-0.1704224563516491 -0.0804699281939308 -0.0471864547005425
 -0.0050024295899677 -0.0134835213612585 -0.0024724392094597
 -0.0053381423581617 -0.0009096252803875 -0.0018661951366333
 0.1510920664259767 -0.1001995507721329 -0.0444943930477071
 -0.0220911686747984 -0.0203392310947074 -0.003225308458949
 -0.0110401738849033 -0.0017212367865116 -0.0040717550498208
 0.0004958336814057 16.0]",[0.0057825723728096],VR12_0019
"[-0.1243142644516958 -0.0284497025471477 -0.0294933553152033
 0.0042539222636242 -0.005022841741527 0.0046011067982162
 -0.0014669954579505 0.0013017557642046 -0.0007681263354369
 0.1736048738106918 0.017110460793209 -0.0076707858376783
 -0.0017278712174508 -0.0001312757705373 0.0028825651527391
 0.0012602507381689 0.0008684637085705 0.0004003729162638
 0.0002922278122111 -1.0]",[0.4791611965550879],RC310_0008
"[-0.1815155201520976 -0.0276597685236074 -0.014887513724351
 0.0008770606648312 -0.0067989604960264 -0.0017429402858702
 -0.0030143208817619 -0.0008593332055474 -0.000965862445034
 0.1815155201520976 0.0276597685236074 0.014887513724351
 -0.0008770606648312 0.0067989604960264 0.0017429402858702
 0.0030143208817619 0.0008593332055474 0.000965862445034 0.0007651497 -3.0]",[0.3852949177723749],NACA0012_64_0007
